Epoch,MSE,RMSE,Accuracy,Precision,Recall,F1Score
1,0.18281,0.427563,0.691667,0.383333,0.383333,0.383333
2,0.180633,0.42501,0.695833,0.391667,0.391667,0.391667
3,0.178085,0.422001,0.708333,0.416667,0.416667,0.416667
4,0.175938,0.41945,0.729167,0.458333,0.458333,0.458333
5,0.173835,0.416935,0.75,0.5,0.5,0.5
6,0.171754,0.414432,0.775,0.55,0.55,0.55
7,0.169699,0.411946,0.783333,0.566667,0.566667,0.566667
8,0.167664,0.409468,0.783333,0.566667,0.566667,0.566667
9,0.16564,0.406988,0.8,0.6,0.6,0.6
10,0.163621,0.404501,0.8125,0.625,0.625,0.625
11,0.161611,0.402008,0.8125,0.625,0.625,0.625
12,0.159615,0.399519,0.808333,0.616667,0.616667,0.616667
13,0.157647,0.397048,0.804167,0.608333,0.608333,0.608333
14,0.155719,0.394612,0.8125,0.625,0.625,0.625
15,0.153844,0.392229,0.804167,0.608333,0.608333,0.608333
16,0.152034,0.389916,0.804167,0.608333,0.608333,0.608333
17,0.1503,0.387685,0.808333,0.616667,0.616667,0.616667
18,0.148647,0.385548,0.808333,0.616667,0.616667,0.616667
19,0.147082,0.383513,0.804167,0.608333,0.608333,0.608333
20,0.145605,0.381582,0.804167,0.608333,0.608333,0.608333
21,0.144217,0.379759,0.808333,0.616667,0.616667,0.616667
22,0.142916,0.378042,0.808333,0.616667,0.616667,0.616667
23,0.141699,0.376429,0.808333,0.616667,0.616667,0.616667
24,0.140562,0.374916,0.8125,0.625,0.625,0.625
25,0.139502,0.373499,0.808333,0.616667,0.616667,0.616667
26,0.138512,0.372172,0.804167,0.608333,0.608333,0.608333
27,0.137589,0.37093,0.804167,0.608333,0.608333,0.608333
28,0.136727,0.369767,0.8,0.6,0.6,0.6
29,0.135922,0.368677,0.808333,0.616667,0.616667,0.616667
30,0.135169,0.367654,0.808333,0.616667,0.616667,0.616667
31,0.134464,0.366694,0.808333,0.616667,0.616667,0.616667
32,0.133803,0.365791,0.808333,0.616667,0.616667,0.616667
33,0.133181,0.36494,0.808333,0.616667,0.616667,0.616667
34,0.132596,0.364138,0.8125,0.625,0.625,0.625
35,0.132044,0.363379,0.8125,0.625,0.625,0.625
36,0.131523,0.362661,0.8125,0.625,0.625,0.625
37,0.131029,0.36198,0.816667,0.633333,0.633333,0.633333
38,0.130561,0.361332,0.8125,0.625,0.625,0.625
39,0.130115,0.360715,0.8125,0.625,0.625,0.625
40,0.129691,0.360126,0.808333,0.616667,0.616667,0.616667
41,0.129286,0.359563,0.808333,0.616667,0.616667,0.616667
42,0.128898,0.359023,0.808333,0.616667,0.616667,0.616667
43,0.128526,0.358505,0.808333,0.616667,0.616667,0.616667
44,0.128169,0.358007,0.808333,0.616667,0.616667,0.616667
45,0.127825,0.357527,0.804167,0.608333,0.608333,0.608333
46,0.127494,0.357063,0.808333,0.616667,0.616667,0.616667
47,0.127174,0.356615,0.808333,0.616667,0.616667,0.616667
48,0.126865,0.356181,0.8,0.6,0.6,0.6
49,0.126565,0.355759,0.8,0.6,0.6,0.6
50,0.126274,0.35535,0.8,0.6,0.6,0.6
51,0.125991,0.354952,0.804167,0.608333,0.608333,0.608333
52,0.125716,0.354565,0.804167,0.608333,0.608333,0.608333
53,0.125449,0.354187,0.804167,0.608333,0.608333,0.608333
54,0.125188,0.353819,0.804167,0.608333,0.608333,0.608333
55,0.124933,0.353459,0.8,0.6,0.6,0.6
56,0.124684,0.353107,0.8,0.6,0.6,0.6
57,0.124441,0.352762,0.8,0.6,0.6,0.6
58,0.124203,0.352425,0.8,0.6,0.6,0.6
59,0.123971,0.352095,0.8,0.6,0.6,0.6
60,0.123743,0.351771,0.8,0.6,0.6,0.6
61,0.123519,0.351453,0.795833,0.591667,0.591667,0.591667
62,0.123301,0.351142,0.795833,0.591667,0.591667,0.591667
63,0.123086,0.350836,0.795833,0.591667,0.591667,0.591667
64,0.122876,0.350536,0.795833,0.591667,0.591667,0.591667
65,0.122669,0.350241,0.795833,0.591667,0.591667,0.591667
66,0.122467,0.349952,0.795833,0.591667,0.591667,0.591667
67,0.122268,0.349668,0.8,0.6,0.6,0.6
68,0.122073,0.349389,0.8,0.6,0.6,0.6
69,0.121881,0.349115,0.8,0.6,0.6,0.6
70,0.121693,0.348845,0.8,0.6,0.6,0.6
71,0.121508,0.34858,0.8,0.6,0.6,0.6
72,0.121327,0.34832,0.8,0.6,0.6,0.6
73,0.121149,0.348065,0.8,0.6,0.6,0.6
74,0.120974,0.347813,0.8,0.6,0.6,0.6
75,0.120803,0.347567,0.804167,0.608333,0.608333,0.608333
76,0.120634,0.347324,0.804167,0.608333,0.608333,0.608333
77,0.120469,0.347086,0.804167,0.608333,0.608333,0.608333
78,0.120306,0.346852,0.8,0.6,0.6,0.6
79,0.120147,0.346622,0.8,0.6,0.6,0.6
80,0.11999,0.346396,0.8,0.6,0.6,0.6
81,0.119836,0.346174,0.8,0.6,0.6,0.6
82,0.119686,0.345956,0.808333,0.616667,0.616667,0.616667
83,0.119538,0.345742,0.808333,0.616667,0.616667,0.616667
84,0.119392,0.345532,0.808333,0.616667,0.616667,0.616667
85,0.11925,0.345325,0.8125,0.625,0.625,0.625
86,0.11911,0.345123,0.8125,0.625,0.625,0.625
87,0.118972,0.344924,0.8125,0.625,0.625,0.625
88,0.118838,0.344728,0.8125,0.625,0.625,0.625
89,0.118705,0.344536,0.8125,0.625,0.625,0.625
90,0.118576,0.344348,0.8125,0.625,0.625,0.625
91,0.118448,0.344163,0.8125,0.625,0.625,0.625
92,0.118324,0.343982,0.816667,0.633333,0.633333,0.633333
93,0.118201,0.343804,0.816667,0.633333,0.633333,0.633333
94,0.118081,0.343629,0.816667,0.633333,0.633333,0.633333
95,0.117963,0.343458,0.816667,0.633333,0.633333,0.633333
96,0.117848,0.34329,0.816667,0.633333,0.633333,0.633333
97,0.117735,0.343125,0.816667,0.633333,0.633333,0.633333
98,0.117624,0.342963,0.8125,0.625,0.625,0.625
99,0.117515,0.342805,0.808333,0.616667,0.616667,0.616667
100,0.117409,0.342649,0.808333,0.616667,0.616667,0.616667
101,0.117304,0.342497,0.808333,0.616667,0.616667,0.616667
102,0.117202,0.342347,0.808333,0.616667,0.616667,0.616667
103,0.117101,0.342201,0.808333,0.616667,0.616667,0.616667
104,0.117003,0.342057,0.808333,0.616667,0.616667,0.616667
105,0.116907,0.341916,0.808333,0.616667,0.616667,0.616667
106,0.116812,0.341778,0.808333,0.616667,0.616667,0.616667
107,0.11672,0.341643,0.808333,0.616667,0.616667,0.616667
108,0.116629,0.34151,0.808333,0.616667,0.616667,0.616667
109,0.11654,0.34138,0.808333,0.616667,0.616667,0.616667
110,0.116453,0.341252,0.808333,0.616667,0.616667,0.616667
111,0.116368,0.341128,0.8125,0.625,0.625,0.625
112,0.116285,0.341005,0.8125,0.625,0.625,0.625
113,0.116203,0.340886,0.808333,0.616667,0.616667,0.616667
114,0.116123,0.340768,0.808333,0.616667,0.616667,0.616667
115,0.116045,0.340653,0.808333,0.616667,0.616667,0.616667
116,0.115968,0.340541,0.808333,0.616667,0.616667,0.616667
117,0.115893,0.34043,0.808333,0.616667,0.616667,0.616667
118,0.115819,0.340322,0.808333,0.616667,0.616667,0.616667
119,0.115747,0.340217,0.804167,0.608333,0.608333,0.608333
120,0.115677,0.340113,0.804167,0.608333,0.608333,0.608333
121,0.115608,0.340012,0.804167,0.608333,0.608333,0.608333
122,0.115541,0.339913,0.8,0.6,0.6,0.6
123,0.115474,0.339815,0.8,0.6,0.6,0.6
124,0.11541,0.33972,0.8,0.6,0.6,0.6
125,0.115347,0.339627,0.8,0.6,0.6,0.6
126,0.115285,0.339536,0.8,0.6,0.6,0.6
127,0.115224,0.339447,0.8,0.6,0.6,0.6
128,0.115165,0.33936,0.8,0.6,0.6,0.6
129,0.115107,0.339274,0.8,0.6,0.6,0.6
130,0.11505,0.33919,0.8,0.6,0.6,0.6
131,0.114995,0.339109,0.8,0.6,0.6,0.6
132,0.11494,0.339029,0.8,0.6,0.6,0.6
133,0.114887,0.33895,0.8,0.6,0.6,0.6
134,0.114835,0.338874,0.8,0.6,0.6,0.6
135,0.114785,0.338799,0.8,0.6,0.6,0.6
136,0.114735,0.338726,0.8,0.6,0.6,0.6
137,0.114686,0.338654,0.8,0.6,0.6,0.6
138,0.114639,0.338584,0.8,0.6,0.6,0.6
139,0.114593,0.338515,0.8,0.6,0.6,0.6
140,0.114547,0.338448,0.8,0.6,0.6,0.6
141,0.114503,0.338383,0.8,0.6,0.6,0.6
142,0.114459,0.338319,0.8,0.6,0.6,0.6
143,0.114417,0.338256,0.8,0.6,0.6,0.6
144,0.114376,0.338195,0.8,0.6,0.6,0.6
145,0.114335,0.338135,0.8,0.6,0.6,0.6
146,0.114296,0.338076,0.8,0.6,0.6,0.6
147,0.114257,0.338019,0.804167,0.608333,0.608333,0.608333
148,0.114219,0.337963,0.804167,0.608333,0.608333,0.608333
149,0.114182,0.337908,0.804167,0.608333,0.608333,0.608333
150,0.114146,0.337855,0.804167,0.608333,0.608333,0.608333
151,0.114111,0.337803,0.804167,0.608333,0.608333,0.608333
152,0.114076,0.337752,0.804167,0.608333,0.608333,0.608333
153,0.114042,0.337702,0.804167,0.608333,0.608333,0.608333
154,0.11401,0.337653,0.804167,0.608333,0.608333,0.608333
155,0.113977,0.337605,0.804167,0.608333,0.608333,0.608333
156,0.113946,0.337559,0.804167,0.608333,0.608333,0.608333
157,0.113915,0.337513,0.804167,0.608333,0.608333,0.608333
158,0.113885,0.337469,0.804167,0.608333,0.608333,0.608333
159,0.113856,0.337426,0.804167,0.608333,0.608333,0.608333
160,0.113827,0.337383,0.804167,0.608333,0.608333,0.608333
161,0.113799,0.337342,0.804167,0.608333,0.608333,0.608333
162,0.113772,0.337301,0.808333,0.616667,0.616667,0.616667
163,0.113746,0.337262,0.808333,0.616667,0.616667,0.616667
164,0.113719,0.337223,0.808333,0.616667,0.616667,0.616667
165,0.113694,0.337185,0.808333,0.616667,0.616667,0.616667
166,0.113669,0.337149,0.808333,0.616667,0.616667,0.616667
167,0.113645,0.337113,0.808333,0.616667,0.616667,0.616667
168,0.113621,0.337078,0.808333,0.616667,0.616667,0.616667
169,0.113598,0.337043,0.808333,0.616667,0.616667,0.616667
170,0.113576,0.33701,0.808333,0.616667,0.616667,0.616667
171,0.113554,0.336977,0.808333,0.616667,0.616667,0.616667
172,0.113532,0.336945,0.808333,0.616667,0.616667,0.616667
173,0.113511,0.336914,0.808333,0.616667,0.616667,0.616667
174,0.113491,0.336884,0.808333,0.616667,0.616667,0.616667
175,0.11347,0.336854,0.808333,0.616667,0.616667,0.616667
176,0.113451,0.336825,0.808333,0.616667,0.616667,0.616667
177,0.113432,0.336796,0.808333,0.616667,0.616667,0.616667
178,0.113413,0.336769,0.808333,0.616667,0.616667,0.616667
179,0.113395,0.336742,0.808333,0.616667,0.616667,0.616667
180,0.113377,0.336715,0.808333,0.616667,0.616667,0.616667
181,0.11336,0.336689,0.808333,0.616667,0.616667,0.616667
182,0.113343,0.336664,0.808333,0.616667,0.616667,0.616667
183,0.113326,0.33664,0.808333,0.616667,0.616667,0.616667
184,0.11331,0.336616,0.808333,0.616667,0.616667,0.616667
185,0.113294,0.336592,0.808333,0.616667,0.616667,0.616667
186,0.113279,0.336569,0.808333,0.616667,0.616667,0.616667
187,0.113264,0.336547,0.808333,0.616667,0.616667,0.616667
188,0.113249,0.336525,0.808333,0.616667,0.616667,0.616667
189,0.113235,0.336504,0.808333,0.616667,0.616667,0.616667
190,0.113221,0.336483,0.808333,0.616667,0.616667,0.616667
191,0.113207,0.336463,0.808333,0.616667,0.616667,0.616667
192,0.113194,0.336443,0.808333,0.616667,0.616667,0.616667
193,0.113181,0.336424,0.808333,0.616667,0.616667,0.616667
194,0.113168,0.336405,0.808333,0.616667,0.616667,0.616667
195,0.113156,0.336386,0.808333,0.616667,0.616667,0.616667
196,0.113144,0.336368,0.808333,0.616667,0.616667,0.616667
197,0.113132,0.336351,0.808333,0.616667,0.616667,0.616667
198,0.11312,0.336333,0.808333,0.616667,0.616667,0.616667
199,0.113109,0.336317,0.808333,0.616667,0.616667,0.616667
200,0.113098,0.3363,0.808333,0.616667,0.616667,0.616667
201,0.113087,0.336284,0.808333,0.616667,0.616667,0.616667
202,0.113076,0.336268,0.808333,0.616667,0.616667,0.616667
203,0.113066,0.336253,0.808333,0.616667,0.616667,0.616667
204,0.113056,0.336238,0.808333,0.616667,0.616667,0.616667
205,0.113046,0.336224,0.808333,0.616667,0.616667,0.616667
206,0.113037,0.336209,0.808333,0.616667,0.616667,0.616667
207,0.113027,0.336195,0.808333,0.616667,0.616667,0.616667
208,0.113018,0.336182,0.808333,0.616667,0.616667,0.616667
209,0.113009,0.336169,0.808333,0.616667,0.616667,0.616667
210,0.113001,0.336156,0.808333,0.616667,0.616667,0.616667
211,0.112992,0.336143,0.808333,0.616667,0.616667,0.616667
212,0.112984,0.33613,0.808333,0.616667,0.616667,0.616667
213,0.112976,0.336118,0.808333,0.616667,0.616667,0.616667
214,0.112968,0.336107,0.808333,0.616667,0.616667,0.616667
215,0.11296,0.336095,0.808333,0.616667,0.616667,0.616667
216,0.112952,0.336084,0.808333,0.616667,0.616667,0.616667
217,0.112945,0.336073,0.808333,0.616667,0.616667,0.616667
218,0.112938,0.336062,0.808333,0.616667,0.616667,0.616667
219,0.11293,0.336051,0.808333,0.616667,0.616667,0.616667
220,0.112924,0.336041,0.808333,0.616667,0.616667,0.616667
221,0.112917,0.336031,0.808333,0.616667,0.616667,0.616667
222,0.11291,0.336021,0.808333,0.616667,0.616667,0.616667
223,0.112904,0.336011,0.808333,0.616667,0.616667,0.616667
224,0.112897,0.336002,0.808333,0.616667,0.616667,0.616667
225,0.112891,0.335993,0.808333,0.616667,0.616667,0.616667
226,0.112885,0.335984,0.808333,0.616667,0.616667,0.616667
227,0.112879,0.335975,0.808333,0.616667,0.616667,0.616667
228,0.112873,0.335966,0.808333,0.616667,0.616667,0.616667
229,0.112868,0.335958,0.808333,0.616667,0.616667,0.616667
230,0.112862,0.33595,0.808333,0.616667,0.616667,0.616667
231,0.112857,0.335942,0.808333,0.616667,0.616667,0.616667
232,0.112852,0.335934,0.808333,0.616667,0.616667,0.616667
233,0.112846,0.335926,0.808333,0.616667,0.616667,0.616667
234,0.112841,0.335919,0.808333,0.616667,0.616667,0.616667
235,0.112836,0.335911,0.808333,0.616667,0.616667,0.616667
236,0.112831,0.335904,0.8125,0.625,0.625,0.625
237,0.112827,0.335897,0.8125,0.625,0.625,0.625
238,0.112822,0.33589,0.8125,0.625,0.625,0.625
239,0.112818,0.335883,0.8125,0.625,0.625,0.625
240,0.112813,0.335877,0.8125,0.625,0.625,0.625
241,0.112809,0.33587,0.8125,0.625,0.625,0.625
242,0.112804,0.335864,0.8125,0.625,0.625,0.625
243,0.1128,0.335858,0.8125,0.625,0.625,0.625
244,0.112796,0.335852,0.8125,0.625,0.625,0.625
245,0.112792,0.335846,0.8125,0.625,0.625,0.625
246,0.112788,0.33584,0.8125,0.625,0.625,0.625
247,0.112785,0.335834,0.8125,0.625,0.625,0.625
248,0.112781,0.335828,0.8125,0.625,0.625,0.625
249,0.112777,0.335823,0.8125,0.625,0.625,0.625
250,0.112774,0.335818,0.8125,0.625,0.625,0.625
251,0.11277,0.335812,0.8125,0.625,0.625,0.625
252,0.112767,0.335807,0.8125,0.625,0.625,0.625
253,0.112763,0.335802,0.8125,0.625,0.625,0.625
254,0.11276,0.335797,0.8125,0.625,0.625,0.625
255,0.112757,0.335792,0.8125,0.625,0.625,0.625
256,0.112753,0.335788,0.8125,0.625,0.625,0.625
257,0.11275,0.335783,0.8125,0.625,0.625,0.625
258,0.112747,0.335779,0.8125,0.625,0.625,0.625
259,0.112744,0.335774,0.8125,0.625,0.625,0.625
260,0.112741,0.33577,0.8125,0.625,0.625,0.625
261,0.112738,0.335765,0.8125,0.625,0.625,0.625
262,0.112736,0.335761,0.8125,0.625,0.625,0.625
263,0.112733,0.335757,0.8125,0.625,0.625,0.625
264,0.11273,0.335753,0.8125,0.625,0.625,0.625
265,0.112728,0.335749,0.8125,0.625,0.625,0.625
266,0.112725,0.335745,0.8125,0.625,0.625,0.625
267,0.112722,0.335741,0.8125,0.625,0.625,0.625
268,0.11272,0.335738,0.8125,0.625,0.625,0.625
269,0.112717,0.335734,0.8125,0.625,0.625,0.625
270,0.112715,0.335731,0.8125,0.625,0.625,0.625
271,0.112713,0.335727,0.8125,0.625,0.625,0.625
272,0.11271,0.335724,0.8125,0.625,0.625,0.625
273,0.112708,0.33572,0.8125,0.625,0.625,0.625
274,0.112706,0.335717,0.8125,0.625,0.625,0.625
275,0.112704,0.335714,0.8125,0.625,0.625,0.625
276,0.112701,0.33571,0.8125,0.625,0.625,0.625
277,0.112699,0.335707,0.8125,0.625,0.625,0.625
278,0.112697,0.335704,0.8125,0.625,0.625,0.625
279,0.112695,0.335701,0.8125,0.625,0.625,0.625
280,0.112693,0.335698,0.8125,0.625,0.625,0.625
281,0.112691,0.335695,0.8125,0.625,0.625,0.625
282,0.112689,0.335692,0.8125,0.625,0.625,0.625
283,0.112687,0.335689,0.8125,0.625,0.625,0.625
284,0.112686,0.335687,0.8125,0.625,0.625,0.625
285,0.112684,0.335684,0.8125,0.625,0.625,0.625
286,0.112682,0.335681,0.8125,0.625,0.625,0.625
287,0.11268,0.335679,0.8125,0.625,0.625,0.625
288,0.112678,0.335676,0.8125,0.625,0.625,0.625
289,0.112677,0.335674,0.8125,0.625,0.625,0.625
290,0.112675,0.335671,0.8125,0.625,0.625,0.625
291,0.112673,0.335669,0.8125,0.625,0.625,0.625
292,0.112672,0.335666,0.8125,0.625,0.625,0.625
293,0.11267,0.335664,0.8125,0.625,0.625,0.625
294,0.112669,0.335661,0.8125,0.625,0.625,0.625
295,0.112667,0.335659,0.8125,0.625,0.625,0.625
296,0.112666,0.335657,0.8125,0.625,0.625,0.625
297,0.112664,0.335655,0.8125,0.625,0.625,0.625
298,0.112663,0.335653,0.8125,0.625,0.625,0.625
299,0.112661,0.33565,0.8125,0.625,0.625,0.625
300,0.11266,0.335648,0.8125,0.625,0.625,0.625
301,0.112658,0.335646,0.8125,0.625,0.625,0.625
302,0.112657,0.335644,0.8125,0.625,0.625,0.625
303,0.112656,0.335642,0.8125,0.625,0.625,0.625
304,0.112654,0.33564,0.8125,0.625,0.625,0.625
305,0.112653,0.335638,0.8125,0.625,0.625,0.625
306,0.112652,0.335636,0.8125,0.625,0.625,0.625
307,0.11265,0.335634,0.8125,0.625,0.625,0.625
308,0.112649,0.335633,0.8125,0.625,0.625,0.625
309,0.112648,0.335631,0.8125,0.625,0.625,0.625
310,0.112647,0.335629,0.8125,0.625,0.625,0.625
311,0.112646,0.335627,0.8125,0.625,0.625,0.625
312,0.112644,0.335625,0.8125,0.625,0.625,0.625
313,0.112643,0.335624,0.8125,0.625,0.625,0.625
314,0.112642,0.335622,0.8125,0.625,0.625,0.625
315,0.112641,0.33562,0.8125,0.625,0.625,0.625
316,0.11264,0.335619,0.8125,0.625,0.625,0.625
317,0.112639,0.335617,0.8125,0.625,0.625,0.625
318,0.112638,0.335615,0.8125,0.625,0.625,0.625
319,0.112637,0.335614,0.8125,0.625,0.625,0.625
320,0.112636,0.335612,0.8125,0.625,0.625,0.625
321,0.112635,0.335611,0.8125,0.625,0.625,0.625
322,0.112634,0.335609,0.8125,0.625,0.625,0.625
323,0.112633,0.335608,0.8125,0.625,0.625,0.625
324,0.112632,0.335606,0.8125,0.625,0.625,0.625
325,0.112631,0.335605,0.8125,0.625,0.625,0.625
326,0.11263,0.335603,0.8125,0.625,0.625,0.625
327,0.112629,0.335602,0.8125,0.625,0.625,0.625
328,0.112628,0.335601,0.8125,0.625,0.625,0.625
329,0.112627,0.335599,0.8125,0.625,0.625,0.625
330,0.112626,0.335598,0.8125,0.625,0.625,0.625
331,0.112625,0.335597,0.8125,0.625,0.625,0.625
332,0.112624,0.335595,0.8125,0.625,0.625,0.625
333,0.112623,0.335594,0.8125,0.625,0.625,0.625
334,0.112622,0.335593,0.8125,0.625,0.625,0.625
335,0.112622,0.335591,0.8125,0.625,0.625,0.625
336,0.112621,0.33559,0.8125,0.625,0.625,0.625
337,0.11262,0.335589,0.8125,0.625,0.625,0.625
